word,count
u,503
ga,305
ta,112
ning,80
bu,52
va,51
yo,45
ishi,41
o‘z,39
men,36
2,34
ham,34
bosh,33
xususiy,32
davlat,28
bor,27
shu,26
bir,25
uni,24
bilan,24
kompaniya,23
1,23
yil,22
-,21
pul,19
ega,18
xususiylashtirish,18
ular,18
may,18
boshqa,18
 ,17
foiz,15
beri,15
har,15
ko‘rsatuv,15
20,14
ulush,13
deb,13
o‘zbekiston,13
boshlovchi,13
uchun,13
uz,12
uning,12
9,11
kun,11
sement,11
group,11
–,11
bo‘lgan,11
6,10
aka,10
korxona,10
ammo,10
so‘m,10
ulushi,10
gal,9
mulk,9
yana,9
neft,9
jamiyat,9
olgan,9
etgan,9
ishga,9
bo‘yicha,9
ikki,9
o‘zbekistonda,8
xat,8
narx,8
ko‘p,8
jahon,8
keyin,8
ma’lum,8
ancha,7
jahongir,7
shaffof,7
eng,7
yangi,7
3,7
o‘tgan,7
o‘zi,7
aktivlar,7
amalga,7
samara,7
to‘g‘ri,7
qilgan,7
jarayon,7
soni,7
esa,7
eriell,6
berish,6
bunda,6
boshqaruv,6
gaz,6
xo‘jayev,6
raqobat,6
ishtirok,6
yuqori,6
bozor,6
ro‘y,6
qiladi,6
toshkent,6
lekin,6
edi,6
mumkin,6
yillar,6
olib,6
qimmat,5
ies,5
pulini,5
bo‘lib,5
yer,5
qanday,5
oxirgi,5
yubor,5
ularni,5
meni,5
degan,5
xabar,5
qizilqumsement,5
o‘yin,5
ishlar,5
olmagan,5
egalik,5
imkon,5
qancha,5
kompaniyaga,5
yaxshi,5
yirik,5
biri,5
korxonalar,5
asosiy,5
xizmat,5
oyida,5
yili,5
jamiyatning,4
tomon,4
savol,4
ishonch,4
ekan,4
yanada,4
ochiq,4
maqsad,4
borib,4
biz,4
mlrd,4
cement,4
mirvohid,4
iqtisodiy,4
mamlakatda,4
undan,4
pulni,4
2021,4
konlar,4
tashkil,4
to‘g‘risida,4
rasmiy,4
ketgan,4
shaxs,4
united,4
boshlovchilik,4
kerak,4
shartnoma,4
muhim,4
angren,4
shuningdek,4
turli,4
loyiha,4
xususiylashtirilishi,4
kuni,4
foyda,4
narxlarda,4
oldin,4
ko‘ra,4
xalqaro,4
sonida,4
katta,4
qilish,4
10,4
juda,4
qurilish,4
investor,4
qolgan,4
avval,4
sovg‘a,4
qilib,4
faqat,4
qayta,4
ro‘yxatdan,4
emas,4
olish,4
aks,4
odam,4
kompaniyalar,4
kompaniyasi,4
aktivlarini,4
xarid,4
uchta,4
xil,4
kelgan,4
nogironlar,4
yordam,4
deya,3
haligacha,3
bora,3
jamoatchilik,3
issiqlik,3
qolgani,3
shubha,3
etib,3
ijtimoiy,3
keyingi,3
sotilgan,3
kiprda,3
o‘tib,3
olmagani,3
foizi,3
bo‘ladi,3
chunki,3
sonidan,3
bo‘lmagan,3
narxi,3
92,3
kompleks,3
deydi,3
zavodni,3
ko‘proq,3
mulkni,3
hisoblanadi,3
xayrli,3
yozgan,3
kelishi,3
pulim,3
bitta,3
ularning,3
qilingan,3
samarali,3
berilishi,3
natija,3
kabi,3
nomi,3
sub’yektiv,3
bo‘ldi,3
doirasida,3
budjet,3
tomonidan,3
aytgan,3
kompaniyasiga,3
e’tibor,3
berilgan,3
qimmatga,3
dilshod,3
boshqarish,3
beradi,3
ikkinchi,3
dekabr,3
zavodlari,3
o‘tishi,3
ko‘mak,3
boshlovchilar,3
sifat,3
mavjud,3
taqa,3
buning,3
ularga,3
onkologiya,3
dollar,3
davlatning,3
ko‘rsatuvni,3
korxonalarini,3
limited,3
tegishli,3
75,3
savdo,3
sotib,3
tashqari,3
qiyinchiliklar,3
25,3
yilni,3
zavodi,3
murojaat,3
taxminan,3
bo‘lishi,3
yillarda,3
sarmoya,3
nima,3
savollar,3
qismi,3
omadingizni,3
bersin,3
qo‘llab-quvvatlash,3
ishonchli,3
xizmati,3
so‘mga,3
auksion,3
boshqaruvga,3
yilning,2
ko‘rsatuvlar,2
fozilov,2
80,2
biroq,2
xati,2
foizlik,2
videomurojaat,2
beraman,2
bo‘lsa,2
keladi,2
zarur,2
shaxslar,2
imkoniyati,2
mayli,2
belgilangan,2
ko‘rsatuvini,2
tashkilot,2
yilda,2
odamlar,2
mimar,2
yozgandi,2
boshlovchiman,2
o‘zbekistonga,2
kunda,2
yoki,2
nisbatan,2
ma’lumotga,2
ishlarning,2
yetgan,2
17,2
ishtiroki,2
sana,2
qaysidir,2
olsa,2
o‘zbekneftgaz,2
qazib,2
demak,2
javob,2
jarayonlari,2
hozir,2
berishmadi,2
noma’lum,2
ovozli,2
kompaniyalari,2
